Start,StartInMin,End,EndInMin,SleepQuality,DurationInHourMin,DurationInMins,WakeUpFace,WakeUpClass,HeartRate,Activity (Steps)
12/5/2016 1:00,60.00,12/5/16 6:54 AM,414.00,0.59,0.2458,354,:|,0,76,645
12/6/2016 0:05,5.00,12/6/16 7:15 AM,435.00,0.63,0.2979,429,:|,0,63,2839
12/7/2016 1:39,99.00,12/7/16 7:30 AM,450.00,0.5,0.2431,350,:|,0,66,2984
12/8/2016 0:39,39.00,12/8/16 7:30 AM,450.00,0.71,0.2854,411,:|,0,83,2439
12/9/2016 1:56,116.00,12/9/16 7:11 AM,431.00,0.71,0.2854,411,:|,0,83,2062
12/10/2016 2:49,169.00,12/10/16 8:39 AM,519.00,0.66,0.2431,350,:),1,85,3740
12/10/2016 23:08,1388.00,12/11/16 8:32 AM,512.00,0.81,0.391,563,:),1,77,1085
12/11/2016 23:58,1438.00,12/12/16 7:31 AM,451.00,0.78,0.3139,452,:(,-1,77,1044
12/13/2016 0:43,43.00,12/13/16 7:23 AM,443.00,0.67,0.2778,400,:|,0,69,3719
12/14/2016 2:02,122.00,12/14/16 7:30 AM,450.00,0.49,0.2271,327,:|,0,78,5881
12/15/2016 0:38,38.00,12/15/16 7:30 AM,450.00,0.8,0.2861,412,:|,0,60,2846
12/16/2016 2:37,157.00,12/16/16 7:28 AM,448.00,0.56,0.2021,291,:|,0,54,3499
12/17/2016 2:15,135.00,12/17/16 8:54 AM,534.00,0.56,0.2021,291,:|,0,54,4790
12/18/2016 1:11,71.00,12/18/16 8:56 AM,536.00,0.61,0.3222,464,:),1,80,3592
12/19/2016 1:26,86.00,12/19/16 2:08 AM,128.00,0.61,0.3222,464,:),1,80,3427
12/19/2016 6:37,397.00,12/19/16 7:30 AM,450.00,0.11,0.0361,52,:(,-1,80,171
12/20/2016 1:51,111.00,12/20/16 7:30 AM,450.00,0.45,0.2347,338,:|,0,69,2123
12/21/2016 0:52,52.00,12/21/16 7:32 AM,452.00,0.63,0.2771,399,:|,0,61,2099
12/22/2016 0:25,25.00,12/22/16 7:11 AM,431.00,0.72,0.2819,406,:),1,76,2767
12/23/2016 1:35,95.00,12/23/16 10:21 AM,621.00,0.97,0.3653,526,:),1,69,2252
12/24/2016 4:32,272.00,12/24/16 10:52 AM,652.00,0.75,0.2639,380,:),1,96,986
12/25/2016 5:22,322.00,12/25/16 11:53 AM,713.00,0.75,0.2715,391,:),1,85,1847
12/26/2016 1:42,102.00,12/26/16 12:22 PM,742.00,0.75,0.2715,391,:),1,85,782
12/26/2016 23:16,1396.00,12/27/16 9:47 AM,587.00,0.86,0.4375,630,:),1,77,356
12/28/2016 2:18,138.00,12/28/16 11:32 AM,692.00,0.9,0.3847,554,:),1,99,2352
12/28/2016 22:20,1340.00,12/29/16 8:29 AM,509.00,0.84,0.4229,609,:),1,78,418
12/30/2016 4:02,242.00,12/30/16 9:50 AM,590.00,0.71,0.2417,348,:),1,102,1433
12/31/2016 4:52,292.00,12/31/16 11:35 AM,695.00,0.79,0.2792,402,:),1,98,3055
1/1/2017 4:59,299.00,1/1/17 11:42 AM,702.00,0.64,0.2792,402,:),1,84,2500
1/2/2017 0:41,41.00,1/2/17 10:53 AM,653.00,1,0.425,612,:),1,83,1584
1/3/2017 1:53,113.00,1/3/17 7:41 AM,461.00,0.63,0.241,347,:),1,86,1193
1/4/2017 0:22,22.00,1/4/17 7:38 AM,458.00,0.75,0.3021,435,:|,0,86,2477
1/5/2017 1:15,75.00,1/5/17 7:45 AM,465.00,0.79,0.2708,390,:),1,73,2340
1/6/2017 2:48,168.00,1/6/17 7:43 AM,463.00,0.62,0.2042,294,:|,0,91,3133
1/7/2017 1:55,115.00,1/7/17 10:46 AM,646.00,0.99,0.3681,530,:),1,70,2453
1/8/2017 3:51,231.00,1/8/17 11:19 AM,679.00,0.86,0.3111,448,:),1,89,2718
1/8/2017 23:49,1429.00,1/9/17 7:43 AM,463.00,0.89,0.3285,473,:|,0,62,1557
1/10/2017 1:02,62.00,1/10/17 7:43 AM,463.00,0.77,0.2785,401,:),1,66,2957
1/11/2017 2:05,125.00,1/11/17 7:38 AM,458.00,0.64,0.2313,333,:|,0,90,3426
1/12/2017 0:34,34.00,1/12/17 7:28 AM,448.00,0.78,0.2868,413,:|,0,90,3970
1/12/2017 23:09,1389.00,1/13/17 7:20 AM,440.00,0.79,0.3403,490,:|,0,87,3657
1/14/2017 1:44,104.00,1/14/17 10:59 AM,659.00,1,0.3854,555,:),1,73,2968
1/15/2017 2:02,122.00,1/15/17 8:52 AM,532.00,0.8,0.2847,410,:),1,89,1987
1/17/2017 0:23,23.00,1/17/17 9:34 AM,574.00,1,0.3819,550,:),1,74,4668
1/17/2017 23:13,1393.00,1/18/17 8:29 AM,509.00,1,0.3861,556,:),1,103,3386
1/19/2017 3:28,208.00,1/19/17 8:19 AM,499.00,0.6,0.2014,290,:),1,96,1437
1/20/2017 2:57,177.00,1/20/17 9:37 AM,577.00,0.71,0.2771,399,:),1,72,1757
1/21/2017 2:25,145.00,1/21/17 10:53 AM,653.00,0.8,0.3528,508,:),1,95,2053
1/21/2017 22:57,1377.00,1/22/17 2:19 AM,139.00,0.8,0.3528,508,:),1,95,2658
1/22/2017 2:46,166.00,1/22/17 9:42 AM,582.00,0.78,0.2882,415,:),1,78,2658
1/22/2017 23:43,1423.00,1/23/17 6:59 AM,419.00,0.85,0.3028,436,:),1,70,809
1/24/2017 0:41,41.00,1/24/17 6:51 AM,411.00,0.73,0.2569,370,:),1,70,5268
1/24/2017 23:14,1394.00,1/25/17 7:00 AM,420.00,0.89,0.3229,465,:),1,81,3944
1/25/2017 23:33,1413.00,1/26/17 6:58 AM,418.00,0.9,0.3083,444,:|,0,81,6383
1/26/2017 23:12,1392.00,1/27/17 6:57 AM,417.00,0.76,0.3229,465,:),1,78,3701
1/28/2017 22:47,1367.00,1/29/17 10:20 AM,620.00,0.77,0.4806,692,:),1,79,2184
1/30/2017 0:06,6.00,1/30/17 6:50 AM,410.00,0.79,0.2806,404,:),1,64,1790
1/30/2017 23:23,1403.00,1/31/17 6:54 AM,414.00,0.62,0.3132,451,:|,0,61,3826
2/1/2017 0:38,38.00,2/1/17 6:57 AM,417.00,0.63,0.2632,379,:),1,89,3848
2/1/2017 23:56,1436.00,2/2/17 6:58 AM,418.00,0.79,0.2931,422,:),1,75,3383
2/2/2017 23:55,1435.00,2/3/17 6:41 AM,401.00,0.77,0.2819,406,:),1,71,4009
2/4/2017 4:00,240.00,2/4/17 9:02 AM,542.00,0.61,0.209,301,:),1,86,3007
2/5/2017 0:16,16.00,2/5/17 8:59 AM,539.00,1,0.3632,523,:),1,78,759
2/6/2017 1:55,115.00,2/6/17 6:57 AM,417.00,0.47,0.2097,302,:),1,67,3217
2/7/2017 0:33,33.00,2/7/17 7:00 AM,420.00,0.7,0.2681,386,:|,0,67,3382
2/7/2017 23:58,1438.00,2/8/17 6:58 AM,418.00,0.72,0.291,419,:|,0,68,4279
2/9/2017 0:09,9.00,2/9/17 6:56 AM,416.00,0.71,0.2826,407,:|,0,60,4292
2/10/2017 0:06,6.00,2/10/17 6:42 AM,402.00,0.66,0.2743,395,:|,0,65,3949
2/11/2017 0:12,12.00,2/11/17 10:06 AM,606.00,0.88,0.4125,594,:),1,77,3645
2/12/2017 0:22,22.00,2/12/17 10:01 AM,601.00,0.83,0.4014,578,:),1,68,1636
2/13/2017 0:04,4.00,2/13/17 6:59 AM,419.00,0.76,0.2882,415,:|,0,55,1818
2/13/2017 23:54,1434.00,2/14/17 7:00 AM,420.00,0.77,0.2958,426,:|,0,68,3034
2/15/2017 1:02,62.00,2/15/17 6:59 AM,419.00,0.64,0.2472,356,:|,0,84,4698
2/16/2017 1:08,68.00,2/16/17 6:54 AM,414.00,0.49,0.2403,346,:|,0,84,3683
2/17/2017 0:13,13.00,2/17/17 6:53 AM,413.00,0.78,0.2771,399,:|,0,80,3632
2/18/2017 1:59,119.00,2/18/17 9:59 AM,599.00,0.94,0.3326,479,:|,0,86,3507
2/18/2017 22:34,1354.00,2/19/17 9:48 AM,588.00,0.96,0.4674,673,:),1,94,2009
2/20/2017 1:03,63.00,2/20/17 7:00 AM,420.00,0.58,0.2479,357,:|,0,62,1562
2/20/2017 22:51,1371.00,2/21/17 7:01 AM,421.00,0.84,0.3403,490,:(,-1,62,4003
2/22/2017 1:02,62.00,2/22/17 6:59 AM,419.00,0.55,0.2472,356,:(,-1,65,4124
2/23/2017 1:07,67.00,2/23/17 7:00 AM,420.00,0.67,0.2451,353,:|,0,82,3598
2/24/2017 0:59,59.00,2/24/17 7:00 AM,420.00,0.56,0.2507,361,:|,0,74,3614
2/25/2017 3:27,207.00,2/25/17 11:23 AM,683.00,0.91,0.3299,475,:|,0,80,3369
2/26/2017 3:44,224.00,2/26/17 12:46 PM,766.00,0.93,0.3764,542,:),1,72,804
2/27/2017 0:36,36.00,2/27/17 6:57 AM,417.00,0.58,0.2639,380,:|,0,61,1202
2/28/2017 1:40,100.00,2/28/17 6:59 AM,419.00,0.57,0.2215,319,:|,0,76,3209
3/1/2017 1:43,103.00,3/1/17 6:44 AM,404.00,0.44,0.209,301,:|,0,87,4206
3/2/2017 1:20,80.00,3/2/17 7:00 AM,420.00,0.52,0.2361,340,:|,0,63,3377
3/3/2017 3:33,213.00,3/3/17 7:00 AM,420.00,0.37,0.1438,207,:|,0,73,5132
3/4/2017 5:44,344.00,3/4/17 11:35 AM,695.00,0.46,0.2431,350,:|,0,97,4242
3/6/2017 2:13,133.00,3/6/17 7:01 AM,421.00,0.43,0.2,288,:(,-1,97,3657
3/7/2017 0:59,59.00,3/7/17 7:01 AM,421.00,0.64,0.2514,362,:|,0,67,2900
3/8/2017 0:49,49.00,3/8/17 6:58 AM,418.00,0.68,0.2556,368,:|,0,82,3297
3/9/2017 0:33,33.00,3/9/17 6:59 AM,419.00,0.64,0.2681,386,:|,0,68,3565
3/9/2017 23:45,1425.00,3/10/17 6:59 AM,419.00,0.72,0.3014,434,:|,0,68,4050
3/15/2017 3:04,184.00,3/15/17 8:38 AM,518.00,0.65,0.2319,334,:),1,68,1577
3/16/2017 3:19,199.00,3/16/17 9:08 AM,548.00,0.67,0.2417,348,:|,0,68,862
3/17/2017 2:34,154.00,3/17/17 9:05 AM,545.00,0.74,0.2715,391,:),1,90,2980
3/18/2017 4:58,298.00,3/18/17 11:18 AM,678.00,0.73,0.2639,380,:),1,84,5088
3/19/2017 4:17,257.00,3/19/17 11:18 AM,678.00,0.68,0.2924,421,:),1,85,229
3/20/2017 1:38,98.00,3/20/17 7:20 AM,440.00,0.63,0.2375,342,:|,0,87,1448
3/21/2017 0:38,38.00,3/21/17 8:08 AM,488.00,0.65,0.3125,450,:|,0,77,4390
3/22/2017 1:09,69.00,3/22/17 6:17 AM,377.00,0.58,0.2132,307,:|,0,77,4253
3/22/2017 22:02,1322.00,3/23/17 7:51 AM,471.00,1,0.409,589,:),1,82,2996
3/24/2017 0:56,56.00,3/24/17 8:04 AM,484.00,0.76,0.2965,427,:|,0,75,2665
3/25/2017 2:25,145.00,3/25/17 11:05 AM,665.00,0.95,0.3611,520,:),1,105,2460
3/26/2017 4:19,259.00,3/26/17 10:59 AM,659.00,0.82,0.2778,400,:),1,77,1106
3/27/2017 1:27,87.00,3/27/17 7:30 AM,450.00,0.6,0.2514,362,:|,0,64,357
3/28/2017 0:14,14.00,3/28/17 7:30 AM,450.00,0.62,0.3021,435,:|,0,77,4345
3/28/2017 7:30,450.00,3/28/17 8:03 AM,483.00,0.07,0.0222,32,:),1,74,4345
3/29/2017 2:04,124.00,3/29/17 7:30 AM,450.00,0.59,0.2257,325,:|,0,74,5805
3/30/2017 0:42,42.00,3/30/17 7:29 AM,449.00,0.69,0.2826,407,:),1,76,3382
3/31/2017 0:19,19.00,3/31/17 7:29 AM,449.00,0.64,0.2986,430,:|,0,65,3270
4/1/2017 5:11,311.00,4/1/17 12:39 PM,759.00,0.83,0.3104,447,:),1,74,1291
4/2/2017 2:15,135.00,4/2/17 9:37 AM,577.00,0.72,0.3069,442,:|,0,62,1164
4/3/2017 3:36,216.00,4/3/17 7:22 AM,442.00,0.39,0.1569,226,:|,0,85,1111
